,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
0,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Alessandro Pistone,Tony Hibbert,Tim Cahill,Leon Osman,Simon Davies,Mikel Arteta,James Beattie,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,Gary Neville,John O'Shea,Darren Fletcher,Park Ji-Sung,Roy Keane,Paul Scholes,Wayne Rooney,Ruud van Nistelrooy,0,2,-2,2,5
1,Fulham,Tony Warner,Niclas Jensen,Zesh Rehman,Zat Knight,Moritz Volz,Claus Jensen,Luís Boa Morte,Steed Malbranque,Sylvain Legwinski,Tomasz Radzinski,Brian McBride,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Jermaine Pennant,Nicky Butt,Julian Gray,Stephen Clemence,Walter Pandiani,Emile Heskey,0,0,0,0,5
2,Manchester City,David James,Stephen Jordan,Danny Mills,David Sommeil,Ben Thatcher,Claudio Reyna,Kiki Musampa,Trevor Sinclair,Joey Barton,Andrew Cole,Darius Vassell,West Bromwich Albion,Chris Kirkland,Neil Clement,Paul Robinson,Martin Albrechtsen,Ronnie Wallwork,Thomas Gaardsoe,Zoltán Gera,Jonathan Greening,Junichi Inamoto,Kanu,Kevin Campbell,0,0,0,0,5
3,Middlesbrough,Mark Schwarzer,Franck Queudrue,Ugo Ehiogu,Gareth Southgate,Michael Reiziger,Stewart Downing,George Boateng,Ray Parlour,Gaizka Mendieta,Jimmy Floyd Hasselbaink,Yakubu,Liverpool,Pepe Reina,Jamie Carragher,Sami Hyypiä,Steve Finnan,Mohamed Sissoko,Xabi Alonso,Luis García,Steven Gerrard,Stephen Warnock,Boudewijn Zenden,Fernando Morientes,0,0,0,0,5
4,Portsmouth,Sander Westerveld,Andy O'Brien,Andy Griffin,Dejan Stefanovic,Grégory Vignal,Jhon Viáfara,Richard Hughes,Laurent Robert,Ivica Mornar,Lomana Lua Lua,Azar Karadas,Tottenham Hotspur,Paul Robinson,Michael Dawson,Erik Edman,Anthony Gardner,Paul Stalteri,Michael Carrick,Wayne Routledge,Andy Reid,Jermain Defoe,Teemu Tainio,Mido,0,2,-2,2,5
5,Sunderland,Kelvin Davis,Stephen Wright,Gary Breen,Steven Caldwell,Carl Robinson,Andy Gray,Julio Arca,Tommy Miller,Dean Whitehead,Jon Stead,Andrew Welsh,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Darren Ambrose,Alexei Smertin,Danny Murphy,Dennis Rommedahl,Radostin Kishishev,Darren Bent,1,3,-2,2,5
6,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Christian Dailly,Nigel Reo-Coker,Hayden Mullins,Matthew Etherington,Paul Konchesky,Teddy Sheringham,Marlon Harewood,Yossi Benayoun,Blackburn Rovers,Brad Friedel,Andrew Todd,Lucas Neill,Dominic Matteo,Aaron Mokoena,Robbie Savage,Brett Emerton,Morten Gamst Pedersen,Steven Reid,Craig Bellamy,Shefki Kuqi,3,1,2,1,5
7,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Kolo Touré,Philippe Senderos,Fredrik Ljungberg,Gilberto Silva,Robert Pires,Cesc Fàbregas,Dennis Bergkamp,Thierry Henry,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Jermaine Jenas,Emre,Kieron Dyer,Scott Parker,Lee Bowyer,Alan Shearer,2,0,2,1,5
8,Wigan Athletic,Mike Pollitt,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Damien Francis,Alan Mahon,Gary Teale,Jason Roberts,Henri Camara,Chelsea,Petr Cech,Paulo Ferreira,John Terry,Asier Del Horno,William Gallas,Damien Duff,Claude Makelele,Arjen Robben,Frank Lampard,Didier Drogba,Eidur Gudjohnsen,0,1,-1,2,5
9,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Jermaine Pennant,Nicky Butt,Julian Gray,Stephen Clemence,Mikael Forssell,Walter Pandiani,Manchester City,David James,Stephen Jordan,Danny Mills,Richard Dunne,Ben Thatcher,Trevor Sinclair,Claudio Reyna,Kiki Musampa,Joey Barton,Darius Vassell,Andrew Cole,1,2,-1,2,5
10,Blackburn Rovers,Brad Friedel,Andrew Todd,Lucas Neill,Dominic Matteo,Ryan Nelsen,Brett Emerton,Robbie Savage,Steven Reid,Morten Gamst Pedersen,Tugay,Shefki Kuqi,Fulham,Tony Warner,Niclas Jensen,Zesh Rehman,Zat Knight,Moritz Volz,Claus Jensen,Luís Boa Morte,Steed Malbranque,Papa Bouba Diop,Brian McBride,Tomasz Radzinski,2,1,1,1,5
11,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Danny Murphy,Jerome Thomas,Dennis Rommedahl,Radostin Kishishev,Alexei Smertin,Darren Bent,Wigan Athletic,Mike Pollitt,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Andreas Johansson,Damien Francis,Alan Mahon,Gary Teale,Jason Roberts,1,0,1,1,5
12,Liverpool,Pepe Reina,Jamie Carragher,Sami Hyypiä,Steve Finnan,Mohamed Sissoko,Boudewijn Zenden,Xabi Alonso,Steven Gerrard,Stephen Warnock,Djibril Cissé,Fernando Morientes,Sunderland,Kelvin Davis,Alan Stubbs,Gary Breen,Carl Robinson,Andy Gray,Julio Arca,Nyron Nosworthy,Liam Lawrence,Tommy Miller,Dean Whitehead,Andrew Welsh,1,0,1,1,5
13,Manchester United,Edwin van der Sar,Mikaël Silvestre,Rio Ferdinand,John O'Shea,Gary Neville,Park Ji-Sung,Roy Keane,Darren Fletcher,Paul Scholes,Wayne Rooney,Ruud van Nistelrooy,Aston Villa,Thomas Sørensen,Liam Ridgewell,Ulises de la Cruz,Aaron Hughes,Jlloyd Samuel,Olof Mellberg,Gareth Barry,Gavin McCann,Steven Davis,Peter Whittingham,Juan Pablo Ángel,1,0,1,1,5
14,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Scott Parker,Jermaine Jenas,James Milner,Charles N'Zogbia,Lee Bowyer,Alan Shearer,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Tomas Repka,Nigel Reo-Coker,Paul Konchesky,Hayden Mullins,Matthew Etherington,Marlon Harewood,Yossi Benayoun,Teddy Sheringham,0,0,0,0,5
15,Tottenham Hotspur,Paul Robinson,Michael Dawson,Erik Edman,Anthony Gardner,Paul Stalteri,Michael Carrick,Edgar Davids,Andy Reid,Mido,Jermain Defoe,Teemu Tainio,Middlesbrough,Mark Schwarzer,Franck Queudrue,Gareth Southgate,Michael Reiziger,George Boateng,Stewart Downing,Ray Parlour,Gaizka Mendieta,Matthew Bates,Yakubu,Jimmy Floyd Hasselbaink,2,0,2,1,5
16,West Bromwich Albion,Chris Kirkland,Neil Clement,Ronnie Wallwork,Paul Robinson,Steve Watson,Thomas Gaardsoe,Jonathan Greening,Andy Johnson,Zoltán Gera,Geoff Horsfield,Kevin Campbell,Portsmouth,Sander Westerveld,Andy O'Brien,Dejan Stefanovic,Grégory Vignal,Andy Griffin,Richard Hughes,Laurent Robert,Jhon Viáfara,Gary O'Neil,Lomana Lua Lua,Azar Karadas,2,1,1,1,5
17,Bolton Wanderers,Jussi Jääskeläinen,Nicky Hunt,Ricardo Gardner,Radhi Jaidi,Tal Ben Haim,Gary Speed,Jay Jay Okocha,Kevin Nolan,Kevin Davies,El Hadji Diouf,Henrik Pedersen,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Alessandro Pistone,Tony Hibbert,Tim Cahill,Kevin Kilbane,Mikel Arteta,Duncan Ferguson,Marcus Bent,0,1,-1,2,5
18,Chelsea,Petr Cech,Paulo Ferreira,John Terry,Asier Del Horno,William Gallas,Claude Makelele,Damien Duff,Arjen Robben,Frank Lampard,Hernán Crespo,Eidur Gudjohnsen,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Kolo Touré,Philippe Senderos,Gilberto Silva,Aliaksandr Hleb,Robert Pires,Fredrik Ljungberg,Cesc Fàbregas,Thierry Henry,1,0,1,1,5
19,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Olivier Tebily,Jermaine Pennant,Stan Lazaridis,Stephen Clemence,Jirí Jarosik,Nicky Butt,Walter Pandiani,Middlesbrough,Mark Schwarzer,Franck Queudrue,Ugo Ehiogu,Gareth Southgate,Michael Reiziger,Stewart Downing,George Boateng,James Morrison,Ray Parlour,Jimmy Floyd Hasselbaink,Mark Viduka,0,3,-3,2,5
20,Portsmouth,Sander Westerveld,Brian Priske,Andy O'Brien,Dejan Stefanovic,Grégory Vignal,Richard Hughes,Laurent Robert,Jhon Viáfara,Gary O'Neil,Lomana Lua Lua,Azar Karadas,Aston Villa,Thomas Sørensen,Liam Ridgewell,Aaron Hughes,Olof Mellberg,Gareth Barry,Peter Whittingham,Gavin McCann,Steven Davis,Nolberto Solano,Juan Pablo Ángel,Kevin Phillips,1,1,0,0,5
21,Sunderland,Kelvin Davis,Alan Stubbs,Gary Breen,Andy Gray,Julio Arca,Nyron Nosworthy,Tommy Miller,Dean Whitehead,Stephen Elliott,Anthony Le Tallec,Andrew Welsh,Manchester City,David James,Danny Mills,Richard Dunne,Stephen Jordan,Ben Thatcher,Claudio Reyna,Trevor Sinclair,Kiki Musampa,Joey Barton,Andrew Cole,Darius Vassell,1,2,-1,2,5
22,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Pascal Cygan,Kolo Touré,Aliaksandr Hleb,Gilberto Silva,Cesc Fàbregas,José Antonio Reyes,Thierry Henry,Dennis Bergkamp,Fulham,Tony Warner,Niclas Jensen,Zesh Rehman,Zat Knight,Moritz Volz,Claus Jensen,Steed Malbranque,Luís Boa Morte,Papa Bouba Diop,Brian McBride,Tomasz Radzinski,4,1,3,1,5
23,Blackburn Rovers,Brad Friedel,Lucas Neill,Andrew Todd,Dominic Matteo,Ryan Nelsen,Brett Emerton,Robbie Savage,Steven Reid,Morten Gamst Pedersen,Tugay,Shefki Kuqi,Tottenham Hotspur,Paul Robinson,Michael Dawson,Erik Edman,Anthony Gardner,Paul Stalteri,Pedro Mendes,Andy Reid,Michael Brown,Robbie Keane,Teemu Tainio,Mido,0,0,0,0,5
24,Bolton Wanderers,Jussi Jääskeläinen,Tal Ben Haim,Nicky Hunt,Radhi Jaidi,Gary Speed,Jay Jay Okocha,Kevin Nolan,Stelios Giannakopoulos,El Hadji Diouf,Kevin Davies,Henrik Pedersen,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Scott Parker,Amdy Faye,Jermaine Jenas,Lee Bowyer,Alan Shearer,Shola Ameobi,2,0,2,1,5
25,Chelsea,Carlo Cudicini,Glen Johnson,William Gallas,Michael Essien,John Terry,Asier Del Horno,Joe Cole,Shaun Wright-Phillips,Claude Makelele,Frank Lampard,Didier Drogba,West Bromwich Albion,Chris Kirkland,Neil Clement,Thomas Gaardsoe,Paul Robinson,Martin Albrechtsen,Riccardo Scimeca,Richard Chaplow,Andy Johnson,Jonathan Greening,Diomansy Kamara,Kanu,4,0,4,1,5
26,Aston Villa,Thomas Sørensen,Liam Ridgewell,Aaron Hughes,Olof Mellberg,Jlloyd Samuel,Gareth Barry,Gavin McCann,Steven Davis,Peter Whittingham,Milan Baros,Kevin Phillips,Blackburn Rovers,Brad Friedel,Dominic Matteo,Andrew Todd,Ryan Nelsen,Brett Emerton,Robbie Savage,Steven Reid,Morten Gamst Pedersen,Tugay,Garry Flitcroft,Shefki Kuqi,1,0,1,1,5
27,Fulham,Tony Warner,Carlos Bocanegra,Niclas Jensen,Moritz Volz,Zat Knight,Claus Jensen,Steed Malbranque,Luís Boa Morte,Papa Bouba Diop,Tomasz Radzinski,Brian McBride,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Tony Hibbert,Tim Cahill,Leon Osman,Simon Davies,Mikel Arteta,Kevin Kilbane,Marcus Bent,1,0,1,1,5
28,Manchester City,David James,Nedum Onuoha,Richard Dunne,Danny Mills,Ben Thatcher,Claudio Reyna,Trevor Sinclair,Kiki Musampa,Joey Barton,Andrew Cole,Darius Vassell,Portsmouth,Sander Westerveld,Brian Priske,Andy O'Brien,Dejan Stefanovic,Grégory Vignal,Andy Griffin,Jhon Viáfara,Richard Hughes,Laurent Robert,Gary O'Neil,Lomana Lua Lua,2,1,1,1,5
29,Tottenham Hotspur,Paul Robinson,Michael Dawson,Stephen Kelly,Anthony Gardner,Paul Stalteri,Michael Carrick,Edgar Davids,Andy Reid,Mido,Jermain Defoe,Teemu Tainio,Chelsea,Petr Cech,Paulo Ferreira,Michael Essien,John Terry,Asier Del Horno,William Gallas,Damien Duff,Joe Cole,Claude Makelele,Frank Lampard,Didier Drogba,0,2,-2,2,5
30,West Bromwich Albion,Chris Kirkland,Ronnie Wallwork,Neil Clement,Paul Robinson,Steve Watson,Thomas Gaardsoe,Jonathan Greening,Zoltán Gera,Darren Carter,Geoff Horsfield,Kevin Campbell,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Jermaine Pennant,Jirí Jarosik,Damien Johnson,Nicky Butt,Mikael Forssell,Emile Heskey,2,3,-1,2,5
31,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Tomas Repka,Matthew Etherington,Nigel Reo-Coker,Paul Konchesky,Hayden Mullins,Teddy Sheringham,Marlon Harewood,Yossi Benayoun,Bolton Wanderers,Jussi Jääskeläinen,Tal Ben Haim,Bruno N'Gotty,Nicky Hunt,Gary Speed,Kevin Nolan,Stelios Giannakopoulos,Jay Jay Okocha,Kevin Davies,El Hadji Diouf,Henrik Pedersen,1,2,-1,2,5
32,Wigan Athletic,Mike Pollitt,Ryan Taylor,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Damien Francis,Graham Kavanagh,Jason Roberts,Lee McCulloch,Sunderland,Kelvin Davis,Alan Stubbs,Gary Breen,Julio Arca,Nyron Nosworthy,Tommy Miller,Dean Whitehead,Stephen Elliott,Jon Stead,Anthony Le Tallec,Andrew Welsh,1,0,1,1,5
33,Middlesbrough,Mark Schwarzer,Ugo Ehiogu,Franck Queudrue,Gareth Southgate,Michael Reiziger,Stewart Downing,George Boateng,James Morrison,Ray Parlour,Yakubu,Mark Viduka,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Dennis Rommedahl,Alexei Smertin,Danny Murphy,Jerome Thomas,Radostin Kishishev,Darren Bent,0,3,-3,2,5
34,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Emre,Scott Parker,Kieron Dyer,Lee Bowyer,Alan Shearer,Albert Luque,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,Gabriel Heinze,John O'Shea,Darren Fletcher,Roy Keane,Cristiano Ronaldo,Paul Scholes,Wayne Rooney,Ruud van Nistelrooy,0,2,-2,2,5
35,Birmingham City,Maik Taylor,Matt Upson,Kenny Cunningham,Jamie Clapham,Mario Melchiot,Jermaine Pennant,Damien Johnson,Nicky Butt,Jirí Jarosik,Emile Heskey,Mikael Forssell,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Alexei Smertin,Danny Murphy,Jerome Thomas,Dennis Rommedahl,Radostin Kishishev,Darren Bent,0,1,-1,2,5
36,Chelsea,Petr Cech,Michael Essien,John Terry,Asier Del Horno,William Gallas,Shaun Wright-Phillips,Geremi,Arjen Robben,Frank Lampard,Hernán Crespo,Eidur Gudjohnsen,Sunderland,Kelvin Davis,Alan Stubbs,Justin Hoyte,Gary Breen,Julio Arca,Christian Bassila,Nyron Nosworthy,Tommy Miller,Dean Whitehead,Stephen Elliott,Jon Stead,2,0,2,1,5
37,Everton,Nigel Martyn,David Weir,Joseph Yobo,Tony Hibbert,Nuno Valente,Tim Cahill,Simon Davies,Mikel Arteta,Kevin Kilbane,Duncan Ferguson,Marcus Bent,Portsmouth,Jamie Ashdown,Brian Priske,Andy O'Brien,Dejan Stefanovic,Grégory Vignal,Gary O'Neil,Laurent Robert,Richard Hughes,Salif Diao,Darío Silva,Lomana Lua Lua,0,1,-1,2,5
38,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,Gabriel Heinze,John O'Shea,Darren Fletcher,Park Ji-Sung,Paul Scholes,Alan Smith,Wayne Rooney,Ruud van Nistelrooy,Manchester City,David James,Richard Dunne,Sylvain Distin,Danny Mills,Ben Thatcher,Claudio Reyna,Trevor Sinclair,Kiki Musampa,Joey Barton,Andrew Cole,Darius Vassell,1,1,0,0,5
39,Middlesbrough,Mark Schwarzer,Franck Queudrue,Ugo Ehiogu,Gareth Southgate,Abel Xavier,George Boateng,Fábio Rochemback,Ray Parlour,Massimo Maccarone,Adam Johnson,Yakubu,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Pascal Cygan,Kolo Touré,José Antonio Reyes,Gilberto Silva,Aliaksandr Hleb,Robert Pires,Mathieu Flamini,Dennis Bergkamp,2,1,1,1,5
40,Newcastle United,Shay Given,Steven Taylor,Titus Bramble,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Scott Parker,Amdy Faye,Michael Owen,Alan Shearer,Albert Luque,Fulham,Tony Warner,Niclas Jensen,Zat Knight,Carlos Bocanegra,Moritz Volz,Claus Jensen,Luís Boa Morte,Steed Malbranque,Papa Bouba Diop,Brian McBride,Tomasz Radzinski,1,1,0,0,5
41,Tottenham Hotspur,Paul Robinson,Ledley King,Anthony Gardner,Michael Carrick,Aaron Lennon,Jermaine Jenas,Paul Stalteri,Lee Young-Pyo,Grzegorz Rasiak,Edgar Davids,Jermain Defoe,Liverpool,Pepe Reina,Jamie Carragher,Sami Hyypiä,Stephen Warnock,Steve Finnan,Dietmar Hamann,Steven Gerrard,John Arne Riise,Luis García,Peter Crouch,Djibril Cissé,0,0,0,0,5
42,West Bromwich Albion,Chris Kirkland,Neil Clement,Steve Watson,Paul Robinson,Martin Albrechtsen,Ronnie Wallwork,Thomas Gaardsoe,Jonathan Greening,Darren Carter,Geoff Horsfield,Nathan Ellington,Wigan Athletic,Mike Pollitt,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Graham Kavanagh,Damien Francis,Jason Roberts,Lee McCulloch,David Connolly,1,2,-1,2,5
43,Bolton Wanderers,Jussi Jääskeläinen,Tal Ben Haim,Bruno N'Gotty,Gary Speed,Kevin Nolan,Jay Jay Okocha,Ivan Campo,Stelios Giannakopoulos,El Hadji Diouf,Kevin Davies,Henrik Pedersen,Blackburn Rovers,Brad Friedel,Zurab Khizanishvili,Ryan Nelsen,Lucas Neill,Dominic Matteo,Aaron Mokoena,Brett Emerton,Morten Gamst Pedersen,Steven Reid,Robbie Savage,Matt Jansen,0,0,0,0,5
44,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Tomas Repka,Matthew Etherington,Nigel Reo-Coker,Hayden Mullins,Paul Konchesky,Teddy Sheringham,Marlon Harewood,Yossi Benayoun,Aston Villa,Thomas Sørensen,Liam Ridgewell,Aaron Hughes,Olof Mellberg,Wilfred Bouma,Steven Davis,Gavin McCann,James Milner,Gareth Barry,Milan Baros,Kevin Phillips,4,0,4,1,5
45,Aston Villa,Thomas Sørensen,Liam Ridgewell,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Gareth Barry,Steven Davis,Patrik Berger,James Milner,Juan Pablo Ángel,Milan Baros,Tottenham Hotspur,Paul Robinson,Paul Stalteri,Lee Young-Pyo,Ledley King,Anthony Gardner,Michael Carrick,Jermaine Jenas,Andy Reid,Teemu Tainio,Grzegorz Rasiak,Jermain Defoe,1,1,0,0,5
46,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Bryan Hughes,Dennis Rommedahl,Danny Murphy,Jerome Thomas,Radostin Kishishev,Darren Bent,Chelsea,Petr Cech,Paulo Ferreira,Michael Essien,John Terry,Ricardo Carvalho,William Gallas,Damien Duff,Claude Makelele,Arjen Robben,Frank Lampard,Hernán Crespo,0,2,-2,2,5
47,Fulham,Tony Warner,Niclas Jensen,Carlos Bocanegra,Zat Knight,Moritz Volz,Claus Jensen,Luís Boa Morte,Steed Malbranque,Papa Bouba Diop,Tomasz Radzinski,Brian McBride,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Tomas Repka,Nigel Reo-Coker,Paul Konchesky,Hayden Mullins,Matthew Etherington,Bobby Zamora,Marlon Harewood,Yossi Benayoun,1,2,-1,2,5
48,Portsmouth,Jamie Ashdown,Brian Priske,Andy O'Brien,Dejan Stefanovic,Grégory Vignal,Gary O'Neil,Laurent Robert,Salif Diao,Richard Hughes,Darío Silva,Lomana Lua Lua,Birmingham City,Maik Taylor,Matt Upson,Kenny Cunningham,Olivier Tebily,Damien Johnson,Jermaine Pennant,Julian Gray,Nicky Butt,Jirí Jarosik,Mikael Forssell,Emile Heskey,1,1,0,0,5
49,Sunderland,Kelvin Davis,Alan Stubbs,Justin Hoyte,Gary Breen,Andy Gray,Christian Bassila,Nyron Nosworthy,Julio Arca,Tommy Miller,Dean Whitehead,Stephen Elliott,West Bromwich Albion,Chris Kirkland,Neil Clement,Ronnie Wallwork,Steve Watson,Paul Robinson,Curtis Davies,Zoltán Gera,Jonathan Greening,Andy Johnson,Kevin Campbell,Robert Earnshaw,1,1,0,0,5
50,Blackburn Rovers,Brad Friedel,Zurab Khizanishvili,Ryan Nelsen,Lucas Neill,Aaron Mokoena,Vratislav Gresko,Morten Gamst Pedersen,Steven Reid,Robbie Savage,David Bentley,Craig Bellamy,Newcastle United,Shay Given,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Steven Taylor,Amdy Faye,Lee Clark,Lee Bowyer,Charles N'Zogbia,Michael Owen,Alan Shearer,0,3,-3,2,5
51,Liverpool,Pepe Reina,Jamie Carragher,Sami Hyypiä,Stephen Warnock,Steve Finnan,Xabi Alonso,Steven Gerrard,John Arne Riise,Luis García,Peter Crouch,Florent Sinama-Pongolle,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,John O'Shea,Cristiano Ronaldo,Roy Keane,Paul Scholes,Kieran Richardson,Wayne Rooney,Alan Smith,Ruud van Nistelrooy,0,0,0,0,5
52,Manchester City,David James,Danny Mills,Richard Dunne,Sylvain Distin,Ben Thatcher,Claudio Reyna,Antoine Sibierski,Joey Barton,Kiki Musampa,Trevor Sinclair,Darius Vassell,Bolton Wanderers,Jussi Jääskeläinen,Tal Ben Haim,Bruno N'Gotty,Radhi Jaidi,Gary Speed,Kevin Nolan,Abdoulaye Diagne-Faye,Stelios Giannakopoulos,Kevin Davies,El Hadji Diouf,Henrik Pedersen,0,1,-1,2,5
53,Wigan Athletic,Mike Pollitt,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Graham Kavanagh,Damien Francis,Jason Roberts,Lee McCulloch,David Connolly,Middlesbrough,Mark Schwarzer,Franck Queudrue,Ugo Ehiogu,Gareth Southgate,Abel Xavier,Emanuel Pogatetz,George Boateng,Fábio Rochemback,James Morrison,Yakubu,Mark Viduka,1,1,0,0,5
54,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Sol Campbell,Kolo Touré,Fredrik Ljungberg,Robin van Persie,Gilberto Silva,Robert Pires,Cesc Fàbregas,José Antonio Reyes,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Matteo Ferrari,Tony Hibbert,Leon Osman,Mikel Arteta,James McFadden,Tim Cahill,Marcus Bent,2,0,2,1,5
55,Birmingham City,Maik Taylor,Matt Upson,Mario Melchiot,Kenny Cunningham,Jamie Clapham,Neil Kilkenny,Jermaine Pennant,Damien Johnson,Julian Gray,Mikael Forssell,Emile Heskey,Liverpool,Pepe Reina,Jamie Carragher,Stephen Warnock,Josemi,Sami Hyypiä,Boudewijn Zenden,Xabi Alonso,Dietmar Hamann,Steven Gerrard,Peter Crouch,Florent Sinama-Pongolle,2,2,0,0,5
56,Bolton Wanderers,Jussi Jääskeläinen,Tal Ben Haim,Bruno N'Gotty,Nicky Hunt,Ricardo Gardner,Gary Speed,Hidetoshi Nakata,Kevin Nolan,Jay Jay Okocha,Kevin Davies,Henrik Pedersen,Portsmouth,Jamie Ashdown,Brian Priske,Andy O'Brien,Matthew Taylor,Dejan Stefanovic,Grégory Vignal,Richard Hughes,Laurent Robert,Salif Diao,Gary O'Neil,Darío Silva,1,0,1,1,5
57,Chelsea,Petr Cech,Paulo Ferreira,John Terry,Ricardo Carvalho,William Gallas,Claude Makelele,Damien Duff,Arjen Robben,Michael Essien,Frank Lampard,Hernán Crespo,Aston Villa,Thomas Sørensen,Liam Ridgewell,Aaron Hughes,Wilfred Bouma,Olof Mellberg,Steven Davis,James Milner,Patrik Berger,Gareth Barry,Juan Pablo Ángel,Luke Moore,2,1,1,1,5
58,Everton,Nigel Martyn,David Weir,Joseph Yobo,Phil Neville,Nuno Valente,Tim Cahill,Leon Osman,Simon Davies,James McFadden,Mikel Arteta,Kevin Kilbane,Wigan Athletic,John Filan,Pascal Chimbonda,Arjan De Zeeuw,Leighton Baines,Stéphane Henchoz,Jimmy Bullard,Graham Kavanagh,Damien Francis,Jason Roberts,Lee McCulloch,Henri Camara,0,1,-1,2,5
59,Manchester United,Edwin van der Sar,Rio Ferdinand,Mikaël Silvestre,John O'Shea,Darren Fletcher,Park Ji-Sung,Paul Scholes,Kieran Richardson,Cristiano Ronaldo,Alan Smith,Ruud van Nistelrooy,Blackburn Rovers,Brad Friedel,Michael Gray,Zurab Khizanishvili,Ryan Nelsen,Lucas Neill,Morten Gamst Pedersen,Tugay,Robbie Savage,Paul Dickov,David Bentley,Craig Bellamy,1,2,-1,2,5
60,Newcastle United,Shay Given,Titus Bramble,Celestine Babayaro,Stephen Carr,Jean-Alain Boumsong,Scott Parker,Lee Bowyer,Lee Clark,Charles N'Zogbia,Michael Owen,Alan Shearer,Manchester City,David James,Nedum Onuoha,Richard Dunne,Sun Jihai,Sylvain Distin,Ben Thatcher,Claudio Reyna,Antoine Sibierski,Kiki Musampa,Joey Barton,Darius Vassell,1,0,1,1,5
61,West Bromwich Albion,Chris Kirkland,Neil Clement,Ronnie Wallwork,Steve Watson,Paul Robinson,Curtis Davies,Jonathan Greening,Zoltán Gera,Andy Johnson,Kevin Campbell,Robert Earnshaw,Charlton Athletic,Stephan Andersen,Chris Perry,Hermann Hreidarsson,Chris Powell,Luke Young,Danny Murphy,Jerome Thomas,Dennis Rommedahl,Radostin Kishishev,Alexei Smertin,Darren Bent,1,2,-1,2,5
62,West Ham United,Roy Carroll,Danny Gabbidon,Anton Ferdinand,Tomas Repka,Matthew Etherington,Nigel Reo-Coker,Paul Konchesky,Hayden Mullins,Yossi Benayoun,Marlon Harewood,Teddy Sheringham,Arsenal,Jens Lehmann,Ashley Cole,Lauren,Sol Campbell,Kolo Touré,Fredrik Ljungberg,Robin van Persie,Aliaksandr Hleb,Cesc Fàbregas,Gilberto Silva,José Antonio Reyes,0,0,0,0,5
