,home_team,hp1,hp2,hp3,hp4,hp5,hp6,hp7,hp8,hp9,hp10,hp11,away_team,ap1,ap2,ap3,ap4,ap5,ap6,ap7,ap8,ap9,ap10,ap11,home_score,away_score,diff_score,game_results,season
4519,Arsenal,Petr Cech,Rob Holding,Laurent Koscielny,Nacho Monreal,Alex Oxlade-Chamberlain,Granit Xhaka,Kieran Gibbs,Aaron Ramsey,Mesut Özil,Alexis Sánchez,Danny Welbeck,Manchester United,David de Gea,Matteo Darmian,Chris Smalling,Phil Jones,Axel Tuanzebe,Ander Herrera,Wayne Rooney,Michael Carrick,Juan Mata,Henrikh Mkhitaryan,Anthony Martial,2,0,2,1,16
4520,AFC Bournemouth,Artur Boruc,Simon Francis,Charlie Daniels,Adam Smith,Steve Cook,Marc Pugh,Joshua King,Junior Stanislas,Harry Arter,Lewis Cook,Lys Mousset,Stoke City,Jack Butland,Marc Muniesa,Ryan Shawcross,Bruno Martins Indi,Glen Johnson,Glenn Whelan,Xherdan Shaqiri,Marko Arnautovic,Geoff Cameron,Joe Allen,Mame Biram Diouf,2,2,0,0,16
4521,Burnley,Tom Heaton,Kevin Long,James Tarkowski,Stephen Ward,Matthew Lowton,Ashley Westwood,George Boyd,Scott Arfield,Jeff Hendrick,Sam Vokes,Ashley Barnes,West Bromwich Albion,Ben Foster,Gareth McAuley,Marc Wilson,Craig Dawson,Jonny Evans,Darren Fletcher,Jake Livermore,Chris Brunt,Sam Field,James McClean,Salomón Rondón,2,2,0,0,16
4522,Chelsea,Thibaut Courtois,David Luiz,César Azpilicueta,Gary Cahill,Marcos Alonso,Victor Moses,Cesc Fàbregas,Nemanja Matic,Pedro,Diego Costa,Eden Hazard,Middlesbrough,Brad Guzan,George Friend,Ben Gibson,Calum Chambers,Fabio,Adam Forshaw,Marten de Roon,Adam Clayton,Álvaro Negredo,Stewart Downing,Adama Traoré,3,0,3,1,16
4523,Hull City,Eldin Jakupovic,Harry Maguire,Ahmed El Mohamady,Andrew Robertson,Andrea Ranocchia,Kamil Grosicki,Alfred N'Diaye,Lazar Markovic,Sam Clucas,Abel Hernández,Oumar Niasse,Sunderland,Jordan Pickford,Billy Jones,John O'Shea,Javier Manquillo,Lamine Koné,George Honeyman,Jason Denayer,Didier Ndong,Jermain Defoe,Fabio Borini,Victor Anichebe,0,2,-2,2,16
4524,Leicester City,Kasper Schmeichel,Danny Simpson,Yohan Benalouane,Christian Fuchs,Robert Huth,Wilfred Ndidi,Marc Albrighton,Riyad Mahrez,Daniel Drinkwater,Jamie Vardy,Shinji Okazaki,Watford,Heurelho Gomes,Christian Kabasele,Sebastian Prödl,Adrian Mariappa,Daryl Janmaat,Nordin Amrabat,Tom Cleverley,Etienne Capoue,Abdoulaye Doucouré,M'Baye Niang,Stefano Okaka,3,0,3,1,16
4525,Liverpool,Simon Mignolet,James Milner,Nathaniel Clyne,Joel Matip,Dejan Lovren,Lucas Leiva,Georginio Wijnaldum,Emre Can,Roberto Firmino,Philippe Coutinho,Divock Origi,Southampton,Fraser Forster,Ryan Bertrand,Maya Yoshida,Cédric Soares,Jack Stephens,Sofiane Boufal,Steven Davis,James Ward-Prowse,Oriol Romeu,Dusan Tadic,Manolo Gabbiadini,0,0,0,0,16
4526,Manchester City,Willy Caballero,Fernandinho,Nicolás Otamendi,Gaël Clichy,Vincent Kompany,Kevin De Bruyne,Raheem Sterling,David Silva,Yaya Touré,Leroy Sané,Gabriel Jesus,Crystal Palace,Wayne Hennessey,Martin Kelly,Joel Ward,Jeffrey Schlupp,Patrick van Aanholt,Jason Puncheon,James McArthur,Luka Milivojevic,Wilfried Zaha,Christian Benteke,Andros Townsend,5,0,5,1,16
4527,Swansea City,Lukasz Fabianski,Martin Olsson,Alfie Mawson,Federico Fernández,Kyle Naughton,Tom Carroll,Leon Britton,Gylfi Sigurdsson,Ki Sung-Yueng,Fernando Llorente,Jordan Ayew,Everton,Maarten Stekelenburg,Leighton Baines,Phil Jagielka,Ashley Williams,Mason Holgate,Gareth Barry,Tom Davies,Idrissa Gueye,Kevin Mirallas,Dominic Calvert-Lewin,Romelu Lukaku,1,0,1,1,16
4528,West Ham United,Adrián,James Collins,José Fonte,Winston Reid,Cheikhou Kouyaté,Mark Noble,Sam Byram,Aaron Cresswell,Jonathan Calleri,André Ayew,Manuel Lanzini,Tottenham Hotspur,Hugo Lloris,Toby Alderweireld,Ben Davies,Kyle Walker,Jan Vertonghen,Christian Eriksen,Dele Alli,Victor Wanyama,Son Heung-Min,Eric Dier,Harry Kane,1,0,1,1,16
